name,cent_dgr,cent_btw,cent_cls,cent_egn,cent_wgt
공급,14,39.73333333333333,0.00847457627118644,0.6257718207897504,0.054882329010835354
주택,22,128.03333333333333,0.009174311926605505,0.8224322957992768,0.07467945384777618
청년,30,178.56666666666663,0.009345794392523364,1,0.09322602966090437
정책,18,68.36666666666667,0.008620689655172414,0.700028808299094,0.06553120131923963
부부,8,25.266666666666666,0.008130081300813007,0.2817470967225192,0.03801200108329279
신혼,4,0,0.0078125,0.22322416288251168,0.027923458000239827
전세,4,0,0.007633587786259542,0.296070502971362,0.023457339118784244
경우,6,8.266666666666667,0.008264462809917356,0.36863277163628294,0.026001144633291173
기준,6,30.833333333333336,0.006896551724137931,0.0651887898579721,0.03800613247083015
소득,12,82.56666666666666,0.008130081300813007,0.294247093654928,0.04863123571611026
홍보,2,0,0.006993006993006993,0.12191433483702009,0.02126553446854755
월세,6,0,0.008130081300813007,0.4393021601576937,0.025234140663504146
신청,2,0,0.007352941176470588,0.14323165718633177,0.02089940694013012
사람,4,5.600000000000001,0.007042253521126761,0.06871214207163343,0.027479044505767235
집값,4,0,0.007633587786259542,0.2831381905695352,0.02336688081343768
필요,6,24.766666666666662,0.00819672131147541,0.32935446868817186,0.02928200741095004
요건,2,0,0.006666666666666667,0.051244946315609184,0.0223062553112009
제한,2,0,0.0011111111111111111,1.941011517038243e-17,0.03225806451612904
나이,2,0,0.0011111111111111111,1.4144544615874217e-17,0.03225806451612904
임대주택,2,0,0.006993006993006993,0.12191433483702009,0.020586247625604216
이용,4,0,0.007633587786259542,0.29607050297136195,0.02230890252151222
혜택,4,0,0.007633587786259542,0.296070502971362,0.02230890252151222
문제,6,0,0.008064516129032258,0.4263698477558668,0.023925522266788738
안정,4,0,0.007518796992481203,0.2522136796215251,0.022202867370880723
기존,2,0,0.007352941176470588,0.1432316571863317,0.020311651979291127
대출,2,0,0.007462686567164179,0.1741561681343419,0.020271041992682214
다양,4,27,0.007575757575757575,0.17960361231056404,0.03094920674276744
지원,2,0,0.006289308176100629,0.03127907690309376,0.025125093529612275
맞벌이,4,0,0.007142857142857143,0.10031294106377894,0.023917593593446772
확대,2,0,0.006896551724137931,0.10898202243519316,0.020439602488363788
애매,2,0,0.005813953488372093,0.0113530298469793,0.022953643360438595
