words,n
신청,33
주택,26
전세,22
월세,20
청년,20
지원,17
소득,16
조건,14
행복,14
사실,13
역세권,13
대출,12
전입,12
신고,11
서류,9
임대주택,9
정책,9
공간,8
서울,8
직장,8
회사,8
부분,7
필요,7
매물,6
문제,6
부동산,6
기준,5
깨끗,5
마음,5
부모님,5
상황,5
서울시,5
선정,5
시간,5
저렴,5
전화,5
정부,5
진짜,5
집값,5
친구,5
